OBJECTID,Shape,direccion,name,localizacion,x_origen_nacional,y_origen_nacional,latitud,longitud
1,"(4712164.926300001, 2247340.3774000015)",Asados de la 80,ARS_1,Av. 80 x Cll 30A,4712164.9263,2247340.3774,6.23205549,-75.60213763
2,"(4714210.7689000005, 2248824.7749000005)",Av. Bolivariana x Carrera 65,ARS_2,Carrera 66B x Calle 42,4714210.7689,2248824.7749,6.24556626,-75.58372102
3,"(4713793.2505, 2248147.7914000023)",Avenida Villas Occidente,ARS_3,Carrera 66 B x Calle 33,4713793.2505,2248147.7914,6.2394274,-75.58746299
4,"(4713904.184400002, 2248152.887)",Avenida Villas Oriente,ARS_4,Carrera 66 x Calle 33,4713904.1844,2248152.887,6.23947839,-75.58646101
5,"(4715420.573299999, 2243902.5983000007)",Banco Caja Social,ARS_5,Cra 43A x Cll 3 Sur,4715420.5733,2243902.5983,6.20111999,-75.5725745
6,"(4712809.320000001, 2247693.9338000007)",Belen,ARS_6,Carrera 76 x Diagonal 75 B,4712809.32,2247693.9338,6.23528053,-75.59633186
7,"(4715771.265900001, 2246000.2492999993)",Block Centro Empresarial,ARS_7,Carrera 43 A x Calle 19,4715771.2659,2246000.2493,6.22009963,-75.56949844
8,"(4712604.026000001, 2250878.344300002)",Calasanz,ARS_33,Calle 50 x Carrera 81 A,4712604.026,2250878.3443,6.26406003,-75.59832864
9,"(4717349.8645, 2251657.909900004)",Campo Valdes,ARS_8,Carrera 46 x Calle 78,4717349.8645,2251657.9099,6.27131862,-75.55548536
10,"(4715032.772000002, 2243826.394200003)",Carulla Oviedo,ARS_9,Cra 43C x Cll 6 Sur (Carulla Oviedo),4715032.772,2243826.3942,6.20041403,-75.57607445
11,"(4716223.727300001, 2244464.9048999995)",Casa del Reloj,ARS_10,Carrera 34 x Calle 7,4716223.7273,2244464.9049,6.20623885,-75.5653436
12,"(4715343.040000001, 2252131.3056000005)",Castipan,ARS_11,Carrera 65 x Transversal 78,4715343.04,2252131.3056,6.27550966,-75.573638
13,"(4715365.792300001, 2252234.171199998)",Cementerio Universal,ARS_12,Cra 65 x Cll 80,4715365.7923,2252234.1712,6.27644064,-75.573437
14,"(4716527.3126, 2243083.5972000025)",Citark,ARS_13,Carrera 29 x Calle 5 Sur,4716527.3126,2243083.5972,6.19376406,-75.56254073
15,"(4716855.066700002, 2249604.4541000016)",Colegio Maria Auxiliadora,ARS_14,Carrera 43 x Calle 58,4716855.0667,2249604.4541,6.25273198,-75.5598654
16,"(4712358.4957, 2250425.169399999)",Colegio San Jose de Calasanz,ARS_15,Carrera 82 x Calle 48 A,4712358.4957,2250425.1694,6.25995212,-75.60052663
17,"(4713954.522800001, 2248553.1593999974)",Colegio UPB,ARS_16,Av. Bolivariana x Circular 1,4713954.5228,2248553.1594,6.24309932,-75.58602399
18,"(4714526.7898, 2249998.563300004)",Colombia,ARS_17,Calle 50 x Carrera 65,4714526.7898,2249998.5633,6.25619205,-75.580918
